"X","Reviews"
85,"i’ve been craving more DC movies son, Aquaman looks <U+0001F525><U+0001F525><U+0001F525><U+0001F525>"
86," I've only seen Aquaman and Shazam. 
All I can say is that I'm looking forward to watching them both! 
Especially Shazam, I've been a fan of Zachary Levi ever since Chuck."
87,"In all the excitement for the Aquaman trailer I didn't talk about Shazam. I thought it looked pretty fun!"
88,"I liked a  video  Aquaman - Official Trailer 1"
89,"Now we're talking! Looking forward to it! Aquaman - Official Trailer 1  via "
90,"Shazam trailer &gt; Aquaman trailer &gt; Godzilla trailer today"
91,"Wow, Shazam looks awesome! And BLACK MANTA in the Aquaman trailer!!! I'd say I'm impressed."
92,"Am I the only one that thinks  looks like Roman Reigns?"
93,""" had the best trailer!""
 be like, ""Hold our giant ass lizard!"""
94,"I liked a  video  Aquaman - Official Trailer 1"
95," AMEN to that brother Haberkorn! You may want to check out the Aquaman trailer too<U+0001F61C>"
96,"The  trailer looks great. Hopfully it sticks the landing come december. "
97,""" GOT THIS ONE YO!!""


"
98,"I can’t believe they replaced Vincent Chase, from the highest grossing movie of all time, and expect us to just be ok with it  "
99,"Wow all this hype and I just realized they never revealed the classic  suit!!???? Great job  <U+0001F44F> <U+0001F30A>"
100," No secret. Something obviously came up with WB to where they changed their minds for now. Its all about capitalizing off of time slots. So much DC content in 3 days. They know the cut is something they can use to hold us over until Dec 21st  . maximization/profit is Key!"
101,"__Gonzalez  Chill Aquaman"
102," Godzilla stomps Aquaman, FB2 and Shazam in my eyes. I'm still getting over how they've shown the monsters' sizes."
103,"The VFX in  trailer already look impressive. I will most definitely be seeing this move for the final product! "
104," I wanted to say Doctor Who so badly too, but the VFX for  look awesome. I cannot wait to see the final product."
105,"today i got a fantastic beasts trailer, news about wonder woman 1984, a shazam and aquaman trailer, new arrow footage and a trailer for season two of the gifted.... how am i still breathing"
106,"I liked a  video  Aquaman - Official Trailer 1"
107,"The Aquaman trailer is finally here but does it live up to the hype? Find out in my Aquaman Trailer... "
108,"I added a video to a  playlist  Aquaman Trailer Reaction"
109,"Aquaman - Official Trailer 1  via "
110,"'Aquaman' is finally getting his own movie in December with 'Game of Thrones' star Jason Momoa — here's the first trailer "
111,"Mera is beautiful.  "
112,"Holy shit. Just watched the Aquaman trailer in 4K and my god, it looks even more beautiful. I NEED AQUAMAN RIGHT NOW. "
113,"Come on. Look how beautiful Mera is. You can't say she isn't beautiful.  "
114,"I liked a  video  AQUAMAN Trailer (4K ULTRA HD) NEW 2018"
115,"You all must be crazy if you think I’m stupid enough to shell out money to see Aquaman."
116,"Aquaman, Godzilla, and Shazam all dropped trailers. We eating good today folks!!"
117,"'Yung trailers ng Fantastic Beasts: The Crimes of Grindelwald and Aquaman. Waaaaaahh. &lt;3"
118,"wow aquaman looks terrible i can't wait to hate myself for seeing it"
119," Super Stoked for Aquaman it looks Amazing Patrick Wilson looks bad ass as the evil half step brother Orm Ocean Master Atlantis looks amazing!!!!         "
120,"I added a video to a  playlist  Aquaman - Official Trailer 1"
121,"I liked a  video  Aquaman - Official Trailer 1"
122,"Aquaman trailer!?"
123," Aquaman looked OK"
124,"Tbh, Aquaman and Shazam are looking good. Not bad DC <U+0001F44F>"
125,"My nigga Aquaman about to do his best to save the DCU "
126,"Why tf did i read aquaman as anpanman "
127," actually looks good? The DC universe finally found some sunlight."
128,"the aquaman cinematography snapped "
129,"Okay I’m gonna watch the Aquaman &amp; Fantastic Beasts trailers "
130,"I wish ppl would stop comparing Aquaman to Black Panther and Thor theyre nothing alike — !!! it’s annoying the only thing they have in common is being kings "
131,"I liked a  video  AQUAMAN Trailer (2018)"
132," I thought it looked fun! A superhero Big! Aquaman looked like a visual feast, but a mishmash of story. Also still not keen on redneck Aquaman."
133," You see the trailer for ?"
134,"I liked a  video  Aquaman - Official Trailer 1"
135,"I'm ngl I'm more excited for shazam than aquaman. Please don't disappoint me DC. Last time I was this excited for your movies you gave us Batman vs Superman and suicide squad which completely killed any hopes I had of JL being good. DON'T FUCK THIS MOMENTUM UP AGAIN."
136,"New Aquaman Trailer "
137,"Check out the official trailer for Aquaman, coming this December "
138,"HOLY MERMAID QUEEN BATMAN MERA LOOKS FIERCE! "
139,"I’m finally home from my day in the sun and I’m going to watch the  and  trailers!"
140,"i am not a fan of dc but the shazam and aquaman trailers were fucking dope"
141," Awww good ole . Its bad when you get so used to being around xylene and lacquer thinner that it doesnt even phase you anymore"
142,"shazam and aquaman left me wigless and i liked it "
143,"First ‘Aquaman’ Trailer Makes a Splash at Comic-Con  via "
144,"I liked a  video  Aquaman - Official Trailer 1"
145,"This moment from the Aquaman Trailer is just toooo much for my little nerd brain!!!   

"
146,"If Vincent Chase isn’t playing  I’m not interested. "
147,"So, the trailer for  is out as well. Oh, my good Lord!!!!!"
148,"1. Shazam can try
2. Aquaman = Jar Jar Binks &amp; Lava Girl

Fight me."
149,"""Aquaman trailer leaves fans hyped""  "
150,"  It's own thing, and hey maybe aquaman will surprise you, it looks good"
151,"Make this viral                      "
152,"I don't know how you make an aquaman movie without a disastrous amount of CGI, but....that is a disastrous amount of CGI"
153,"I liked a  video  Aquaman - Official Trailer 1"
154,"Aquaman looks trash"
155,"Conjuring exorists Ed &amp; Lorraine Warren have enough with fighting demon and join the mermen to conquer the surface (Aquaman) &amp; team up with scientist to save the world (Godzilla)"
156,"DC comes out with Titans, Shazam and Aquaman movie while Marvel with their very own Venom movie"
157,"So far, from that Aquaman trailer, the movie looks like it'll be good"
158,"I made it an hour into justice league before i remembered that aquaman was a song that exists and now I'm sidetracked"
159,"_zoom9 Not seen Shazam one yet pal when was that out and I can’t stop watching . Amber Heard <U+0001F92A><U+0001F92A><U+0001F92A><U+0001F92A>"
160,"'Aquaman': Jason Momoa Unveils Action-Heavy Trailer at Comic-Con   "
161,"So. True. 

I was so worried about it not being good but then I saw the trailer and I was like, “I dig it.” 

 "
162," This is true . Though for Shazam and Aquaman in particular ,we haven't seen the superhero films like them. So it may not be mcu quality, but still a breath of fresh air. Plus Shazam filmed in Toronto so that's always a plus."
163,"Aquaman is gonna be dope"
164,"Godzilla and Aquaman trailers are pretty badass."
165,"Call me immature, but I want to composite or modify those underwater shots of Aquaman trailer to have brown shit clouds. Let's get real serious for a moment about how dat works. LOLOLOLOL"
166,"Why couldn't Aquaman just be a normal blonde guy,,,Jason Momoa only has the range for Lobo n literally no one else lmao"
167,"Both Aquaman and SHAZAM! trailers are underwhelming and I am not one bit excited for the future of DC's cinematic universe."
168,"the only dc movie ive ever seen was wonder woman. I might fuck around and watch the others because of shazam and aquaman"
169,"Saw the Aquaman and Shazam trailers today. Shazam is the one I'm most interested in seeing. :D"
170,"Dayummm Black Manta in a goddamn film. It's so real. My lord.   "
171,"_Laze Honestly Shazam &gt; Aquaman"
172,"I liked a  video  Aquaman - Official Trailer 1"
173,"Aquaman looks so much better than Shazam"
174,"DC is pulling up strong with Aquaman and Shazam <U+0001F64C><U+0001F3FD> "
175,"Okay DC might have their first interesting trailer

And it’s for Aquaman!!?

Ekow Oliver Leme Oliver Eghe Idehen Jeff Yeboah Shivy McEwan Philly Morris "
176,"Aquaman is gonna be lit !"
177,"Classic Aquaman Costume Was Revealed in Alternate Comic-Com Trailer  "
178,"December: Spider-Man into the Spider-Verse and Aquaman <U+0001F525><U+0001F525>"
179,"First look at  (The Get Down, First Match) as Black Manta in  <U+0001F631> "
180,"Wow...this actually looks like it could be fun (I know jack shit about Aquaman tho "
181,"Boy that Aquaman trailer some HEAT"
182,"Shazam and Aquaman are going to save the  with colorful sets and characters that can actually make me laugh unlike Batfleck"
183,"Of the major trailer breaks I’ve had the time to watch or see at the con, if feels like Shazam is the clearest in the tone it wants to shoot for. Aquaman doesn’t seem to know what movie it wants to be, neither does Venom."
184,"may or may not have watched the aquaman and shazam trailers an embarrassing amount of times"
185,", yeah yeah, alright. 

But just for once I would love one of these conveniently estranged noble blood characters to say ""Leader? King? Like, with handmaidens and servants and power and shit? Hell, *yes*, I'll have some of that - who do I have to kill to get it?"""
186," has the look and feel of Marvels Thor smashed together with Disney's little mermaid. The Otherwordly awe to the crescendo of ""Under the Sea"" They even have Ariel. (I know she's true to the comics but still :P) "
187,"Aquaman - Official Trailer 1  via "
188,"Hey! Mr.  
You know what to do... 
 "
189,"Aquaman and Shazam actually look really good......about time Dc."
190," and  look amazing, but so have all the past DCEU trailers. ""Fool me once..."""
191,"I can’t wait till  comes out..why?..cause my gay ass wants to see mera"
192," They’re definitely skewing lighter on both counts. I wasn’t too taken with the aquaman cgi I have to admit. And yeehawing Arthur curry kinda grates a little. But I’d watch Momoa in anything so they’ll have my money for that too. Saw him live once. Jesus but the man has presence."
193,"8. SHAZAM. What does a 13 year old do when he gets superpowers? Watch Shazam and find out. This is a kids dream. So much symbolism. The kid with crutches is wearing a frickin Aquaman shirt. A Batarang in Billy's room. Stoked"
194,"7. AQUAMAN. thank u james wan. I had tears in my eyes watching that trailer. Rise from the ashes and be reborn DC!"
195,"Last night I was agonizing over my awful terrible no-good prose but today I watched the Aquaman trailer and everything I've ever written is fuckin' gold by comparison so THANKS AQUAMAN"
196,"I already knew I was a HUUUGE sucker for redheads (Starfire, Poison Ivy), but holy shit, MERA IS THE REDHEAD OF THE YEAR!!!!     "
197,"Can’t wait for Shazam, Aquaman, and Wonder Woman 1984 to come out <U+0001F62D><U+0001F62D><U+0001F44F><U+0001F3FC><U+0001F60D>"
198,"I liked a  video  AQUAMAN Trailer (2018)"
199,"Aquaman looks dope"
200,"The aquaman trailer does look pretty freaking dope"
201," and  trailer dropping back to back "
202,"Action-packed 'Aquaman' trailer is a CGI whirlpool: Watch "
203,"Aquaman is even more of a bro in his solo movie than he was in 'Justice League' "
204,"Those trailers at Comic Con for Aquaman, Godzilla King of the Monsters &amp; Shazam look amazing! "
205,"Whose excited for everything comic book!! Me!!!!!
     "
206,"  Amber as Mera is so beautiful. I need to see this movie rigth now<U+0001F60D><U+0001F602> "
207,"Aquaman is looking fine— "
208," i’m on board with aquaman shit looks clean. shazam i’m not sure yet, i was never much into him so its hard for me to have a heavy opinion on the trailer. i just feel like the only good casting in titans is beast boy &amp; hes not even really green idk idk"
209,"I liked a  video  Aquaman - Official Trailer 1"
210,"Is anyone else bummed  isn't  ?"
211,"- Hope  s too. "
212,"Today was a great day to be a nerd.  looks amazing.  looks incredibly fun.  seems like a great time. Plus I kinda have a Superman curl going on. "
213,"And aquaman cgi looks like hot garbage"
214,"AQUAMAN OFFICIAL TRAILER  via "
215,"I'd say Godzilla, though the Aquaman trailer did make me interested in the movie. "
216,"What the heck this looks so good?! DC perhaps making some GOOD content finally? Aquaman trailer tbh wasn't AS good imo. "
217," now I'm not sure y DC has struggled. My BF &amp; I waited yrs 4 Justice league &amp; was um not happy but Aquaman was impressive. Jason M killed it (geez that man is gorg<U+0001F60E>) &amp; from the looks of the trailer, u guys might kill it come Dec. rooting 4 this one. Looks great"
218,"I liked a  video  Aquaman - Official Trailer 1"
219,"'Wonder Woman,' 'Aquaman' and 'Shazam!"" thrill Comic-Con  "
220,"Meanwhile,  is my favorite trailer of the day because it looks stupid as all hell in a fun way that combines James Wan, Nicole Kidman, an evil Patrick Wilson, and people riding sharks. "
221,"_Mizzle32 That aquaman trailer <U+0001F4A9>"
222,"Let's go to the bottom of the sea watching an incredible fight? But only in December, when  debuts. Meanwhile, watch the trailer and be amazed!       "
223,"‘Aquaman’ Director James Wan Asked Zack Snyder Not To Introduce Atlantis In ‘Justice League’  "
224,"‘Aquaman’ Acts As An Origin Story For Black Manta  "
225,"‘Aquaman’ Director Reveals ‘Star Wars’ And Kurosawa Films Inspired Vulko  "
226,": Fishes Swim In First  Trailer  "
227,"James Wan. Michael Dougherty. David F. Sandberg. All horror directors breaking out into large-scale directing roles. I love it and 100% approve!   "
228,"Woah! Today is movie trailer release day! Shazam, Aquaman, Godzilla!! What’s next?!?!"
229,"Aquaman ain't gone make any sense cause where tf is Superman when the sea people tryna take over?"
230," looks phenomenal 

   "
231,"If DC would take Shazam! as seriously as they're obviously taking Aquaman I would've been okay with it.

Releasing thevAquaman trailer the same day as Shazam! just made Shazam! look worse. "
232,"Shazam looks great, Aquaman can go fuck itself"
233,"""Aquaman"" trailer (article): NEGROMANCER 2.0: Negromancer News Bits and Bites from July 15th to ... "
234,"TAKE MY MONEY AQUAMAN!!! OMG FINALLY. SO HAPPY :') 
"
235,"    _7     _CoSo   _me     _bj        _MATTH3W    _char    _g00d_v1bes_       _________1   And here I thought Aquaman was going to be played by Vincent Chase <U+0001F602>"
236,"Aquaman and Shazam look dope "
237,"DC's upping their game with Aquaman and Shazam. o_o"
238,"_careers It will be great.....DC universe coming strong with Aquaman too....Dope thrillers"
239,"Comic-Con 2018: Aquaman Trailer Arrives With Exclusive Footage Showing Classic Costume "
240,"God bless   and all it's trailer-fied goodness     "
241,"I have a bad feeling about Aquaman."
242,"Shazam and Aquaman Trailer <U+0001F4A3><U+0001F4A3><U+0001F4A3><U+0001F4A3> DC has finally understood the themes of each character, let Batman have the dark and complicated stories but keep shazam, aquaman, flash, green lantern etc light hearted <U+0001F604>"
243,"Ok, I'm watching this Aquaman trailer and all I think about is how impossible is to fart in that undersea world without anyone noticing."
244,"New Trailers Debuted at Comic-Con Include Aquaman, Shazam, and The Simpsons "
245,"NOW this is .. can’t wait to see the movie. <U+0001F919><U+0001F3FD><U+0001F91F><U+0001F3FD>  "
246,"I liked a  video  The Aquaman Trailer REACTION and Review - Comic Con 2018"
247,"Unpopular opinion I liked the Shazam trailer more than the Aquaman trailer hh"
248,"That Aquaman movie looks fucking dope!"
249," trailer was pretty lit. Not gonna lie."
250,"I liked a  video  Aquaman - Official Trailer 1"
251,"I’m a Marvel’s fan, but I LOVED Wonder Woman and after watching this trailer, I am excited for Aquaman "
252,"  Release aquaman in telugu also please"
253," try Aquaman"
254,"***New Trend Alert***

1. 
2. sterling bank
3. gtbank
4. 
5. 
6. 
7. club indigo
8. _ng
9. first bank
10. union bank
11. q2 - come online
12. osun apc
13. access bank
14. aquaman"
255,"aquaman trailer is out and i really want to watch it but i never watch trailer before bcause it’s like a spoiler but i’m so curious"
256,"DC fans everywhere: today is our day. Aquaman and Shazam trailers were so mind blowing. It’s a new day for the DCEU.   "
257,"""..my father was a lighthouse Keeper my mother was a Quinn .."" - Jason Momoa as Aquaman ;)
"
258," &amp;  both look promising but I won’t get too hype after what  did to me ...main problem I have is Shazam’s costume, it looks like a muscle suit &amp; the lightning bolt needs work."
259,"Aquaman is even more of a bro in his solo movie than he was in 'Justice League' "
260,"Action-packed 'Aquaman' trailer is a CGI whirlpool: Watch "
261,"_ Nigga that was Batman V Superman and WW got another movie coming out. Aquaman will break records and Shazam will change opinions on DCs films. Dc in the right direction. I think they knew justice league was a flop so they just released it any. They still made big bucks tho"
262," looks so good! I can't wait to see it..."
263,"SDCC HOT TAKES: 
-Shazam looks pretty fun. Wanted more Hounsou!
-Aquaman... I want to like it, but again the tone seems off. I'm here for evil Patrick Wilson tho.
-Godzilla looks beautiful, but I'm confused who's good/bad.
-Fan. Beasts seems... Familiar. Happy Fogle's back!"
264,"I dig it. "
265," I'm stoked to see my favorite satedan as Aquaman"
266," Shazam looks incredible, Aquaman looks great too, but I think I’m more excited for Shazam. It just looks fun, and like a friendly cartoony kinda film"
267,"  ... do you?

                         "
268,"  ... are you blind?    in the  

                    "
269,"I liked a  video  Aquaman - Official Trailer 1"
270,"I’m sooo ready for that Aquaman movie!! That trailer was <U+0001F525><U+0001F525>"
271," you never told us you were in Aquaman mate?! "
272," I'm actually horribly disappointed in both Aquaman and Shazam :("
273,"I'm really disappointed in the  and  trailers. They feel like they're trying to copy Thor Ragnarok instead of standing on their own. 
Obvious Neon CGI is Obvious. Ding.
Forced Comedy is Forced. Ding.
"
274,"Aquaman (2018), Comic-Con Trailer
 "
275,"*Me when I was watching Aquaman trailer*: Isn't that the music from the ending of Trollhunters S2?"
276,"Actually excited for Shazam, Aquaman looks alright"
277,"Aquaman looks really good I can’t wait to watch"
278," New trailers came out. Aquaman and Shazam. React to em pls"
279,"We got a trailer for Shazam, Aquaman and the fight between 50 and Floyd. Today has been a good day."
280," did you guys watch the aquaman &amp; shazam trailers?"
281," I’m stoked. The trailer is incredible. Dare I say it? Better than Aquaman."
282," Shazam! I’m stoked. The trailer is incredible. Dare I say it? Better than Aquaman."
283,"i calmed down for like an hour and now the hype has started again WE ARE ACTUALLY GETTING AQUAMAN AND SHAZAM WOW DC REALLY DID THAT !"
284,"alexa play the aquaman trailer again"
285,"I AMMMMMMMMM REAAAAAAAAADDDDDDDDDDDDDDDDDDYYYYYYYYYYY BIIIIHHHHHHHHHHHHHHHH "
286,"I liked a  video  Aquaman - Official Trailer 1"
287,"_Rocka I do too and I am happy they were both well received, but I was reading a lot that Shazam stole the show and I was a bit underwhelmed. Aquaman made more of an impact for me."
288," Did DC Films finally figure out the formula?
please, please, please, please...

"
289," feels like DC missed an opportunity to reinvent the aquaman mythos out of its white centric roots. A polynesian reimagining  would make Jason Momoa's casting play to home, and could've been the next contribution to liberated fantasy. Atlantis shouldn't be white. Oh well. "
290,"I liked a  video  Aquaman - Official Trailer 1 (<U+0E0B><U+0E31><U+0E1A><U+0E44><U+0E17><U+0E22>)"
291,"good fucking morning i just wanna say that the DCEU was worth it to defend after seeing both the Aquaman and Shazam trailer... cOME AT ME YOU FUCKERS"
292,"baby arthur controlling the sharks was the best thing  "
293,"I liked a  video  Aquaman - Official Trailer 1"
294,"Yeaaahh!!   "
295,"YEAHH!!! THANK YOU  
"
296,"The trailers for aquaman,shazaam and godzilla got me like this: "
297,"Ahhhh I just saw the Aquaman trailer and lemme tell y’all !! It’s gonna be lit ! 

Signed 
Lover of all this aquatic !"
298,"Aquaman trailer: First look at Jason Momoa in action   "
299,"Shazam looks like a lot of fun actually but wow does Aquaman look awful"
300,"yooo aquaman looks dope also what would a james wan film be without patrick wilson"
301,"I liked a  video  Aquaman - Official Trailer 1 - REACTION!!!"
302,"I liked a  video  Aquaman Official Trailer REACTION"
303,"Don't think  will be great  after watching its trailer and not put so much expectation on it but..  IS TOTALLY AWESOME"
304,"// ""Redheads. You gotta love 'em!""
Yeah, I DO. also I'll be cosplaying as Momoa's Aquaman... someday later, in a few years, when I get buffed AF and stop being ugly <U+0001F602>
"
305,"Aquaman trailer is nice I hope the movie is too. Dc need a win"
306," That was awesome... "
307," we ready for you..."
308,"The last shot of that sea monster Orm rides gives me chills every time <U+0001F62D><U+0001F499><U+0001F531>  "
309,"Jason Momoa is amazing, a breath of fresh air in the DC Universe and that trailer for  had me on the edge of my seat, licking my lips in excitment - I mean if Momoa is not enough then the casting of Kidman as Queen Atlanna should seal the deal !!"
310,"I liked a  video  AQUAMAN Trailer (2018) DC Superhero Movie"
311," I don’t even know what aquaman is lol"
312,"sure the aquaman trailer looks great but so did the trailers for bvs, suicide squad and justice league and i aint psychin myself up just to be disappointed AGAIN so my ass waitin til i get a good movie to be excited send tweet"
313,"Aquaman - Official Trailer 1 "
314,"And Aquaman yeah"
315,"That  trailer? It looks cheesy as hell and honestly I don't give a fuck  any more. It looks like fun."
316,"I’m super excited for the surface world Indiana Jones-style adventures in ."
317,"I liked a  video  Aquaman - Official Trailer 1"
318,"The Comic Book Geek: Shazam! and Aquaman Trailers "
319,"Free marketing for Marvel’s Namor movie.  "
320,"This is the first DC film I’ve been excited about since the last Christopher Nolan Dark Knight film (WW excluded). This MIGHT ACTUALLY be really, really good (&amp; DIFFERENT!) James Wan + Aquaman has to be at least DECENT, right? "
